dateOp;dateVal;label;category;categoryParent;supplierFound;amount;comment;accountNum;accountLabel;accountBalance
2025-12-01;2025-12-01;LOYER COLOCATION LILLE;Loyer;Logement;;-350.00;;00012345678;COMPTE COURANT;
2025-12-02;2025-12-02;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-04;2025-12-04;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2025-12-05;2025-12-05;VIREMENT CAF APL;Virements;Revenus;;180.00;;00012345678;COMPTE COURANT;
2025-12-05;2025-12-05;ASSURANCE HABITATION MAIF;Assurance;Logement;;-13.20;;00012345678;COMPTE COURANT;
2025-12-05;2025-12-05;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-06;2025-12-06;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2025-12-07;2025-12-07;UGC CINE CITE;Loisirs;Loisirs;;-12.00;;00012345678;COMPTE COURANT;
2025-12-08;2025-12-08;ABONNEMENT NETFLIX.COM;Abonnements;Loisirs;;-13.49;;00012345678;COMPTE COURANT;
2025-12-09;2025-12-09;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-10;2025-12-10;ABONNEMENT SPOTIFY;Abonnements;Loisirs;;-9.99;;00012345678;COMPTE COURANT;
2025-12-11;2025-12-11;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2025-12-12;2025-12-12;FREE MOBILE;Telecom;Abonnements;;-19.99;;00012345678;COMPTE COURANT;
2025-12-12;2025-12-12;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-13;2025-12-13;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2025-12-16;2025-12-16;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-18;2025-12-18;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2025-12-19;2025-12-19;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-20;2025-12-20;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2025-12-21;2025-12-21;UGC CINE CITE;Loisirs;Loisirs;;-12.00;;00012345678;COMPTE COURANT;
2025-12-23;2025-12-23;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-25;2025-12-25;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2025-12-26;2025-12-26;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2025-12-27;2025-12-27;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2025-12-28;2025-12-28;VIREMENT SALAIRE JOB ETUDIANT;Virements;Revenus;;480.00;;00012345678;COMPTE COURANT;
2025-12-30;2025-12-30;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-01;2026-01-01;LOYER COLOCATION LILLE;Loyer;Logement;;-350.00;;00012345678;COMPTE COURANT;
2026-01-01;2026-01-01;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-01-02;2026-01-02;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-03;2026-01-03;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-01-04;2026-01-04;UGC CINE CITE;Loisirs;Loisirs;;-12.00;;00012345678;COMPTE COURANT;
2026-01-05;2026-01-05;VIREMENT CAF APL;Virements;Revenus;;180.00;;00012345678;COMPTE COURANT;
2026-01-05;2026-01-05;ASSURANCE HABITATION MAIF;Assurance;Logement;;-13.20;;00012345678;COMPTE COURANT;
2026-01-06;2026-01-06;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-08;2026-01-08;ABONNEMENT NETFLIX.COM;Abonnements;Loisirs;;-13.49;;00012345678;COMPTE COURANT;
2026-01-08;2026-01-08;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-01-09;2026-01-09;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-10;2026-01-10;ABONNEMENT SPOTIFY;Abonnements;Loisirs;;-9.99;;00012345678;COMPTE COURANT;
2026-01-10;2026-01-10;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-01-12;2026-01-12;FREE MOBILE;Telecom;Abonnements;;-19.99;;00012345678;COMPTE COURANT;
2026-01-13;2026-01-13;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-15;2026-01-15;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-01-16;2026-01-16;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-17;2026-01-17;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-01-18;2026-01-18;UGC CINE CITE;Loisirs;Loisirs;;-12.00;;00012345678;COMPTE COURANT;
2026-01-20;2026-01-20;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-22;2026-01-22;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-01-23;2026-01-23;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-24;2026-01-24;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-01-27;2026-01-27;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-28;2026-01-28;VIREMENT SALAIRE JOB ETUDIANT;Virements;Revenus;;480.00;;00012345678;COMPTE COURANT;
2026-01-29;2026-01-29;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-01-30;2026-01-30;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-01-31;2026-01-31;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-02-01;2026-02-01;LOYER COLOCATION LILLE;Loyer;Logement;;-350.00;;00012345678;COMPTE COURANT;
2026-02-01;2026-02-01;UGC CINE CITE;Loisirs;Loisirs;;-12.00;;00012345678;COMPTE COURANT;
2026-02-03;2026-02-03;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-05;2026-02-05;VIREMENT CAF APL;Virements;Revenus;;180.00;;00012345678;COMPTE COURANT;
2026-02-05;2026-02-05;ASSURANCE HABITATION MAIF;Assurance;Logement;;-13.20;;00012345678;COMPTE COURANT;
2026-02-05;2026-02-05;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-02-06;2026-02-06;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-07;2026-02-07;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-02-08;2026-02-08;ABONNEMENT NETFLIX.COM;Abonnements;Loisirs;;-13.49;;00012345678;COMPTE COURANT;
2026-02-10;2026-02-10;ABONNEMENT SPOTIFY;Abonnements;Loisirs;;-9.99;;00012345678;COMPTE COURANT;
2026-02-10;2026-02-10;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-12;2026-02-12;FREE MOBILE;Telecom;Abonnements;;-19.99;;00012345678;COMPTE COURANT;
2026-02-12;2026-02-12;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-02-13;2026-02-13;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-14;2026-02-14;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-02-15;2026-02-15;UGC CINE CITE;Loisirs;Loisirs;;-12.00;;00012345678;COMPTE COURANT;
2026-02-17;2026-02-17;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-19;2026-02-19;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-02-20;2026-02-20;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-21;2026-02-21;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
2026-02-24;2026-02-24;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-26;2026-02-26;VIREMENT SALAIRE JOB ETUDIANT;Virements;Revenus;;480.00;;00012345678;COMPTE COURANT;
2026-02-26;2026-02-26;KEBAB DU COIN;Restaurants;Alimentation;;-10.00;;00012345678;COMPTE COURANT;
2026-02-27;2026-02-27;ILEVIA;Transport;Transport;;-2.20;;00012345678;COMPTE COURANT;
2026-02-28;2026-02-28;LIDL;Courses;Alimentation;;-30.00;;00012345678;COMPTE COURANT;
